"Voting_Status","Candidate_Choice","Party_Strength","Income_Range","Education_Level","Age_Group"
"1. Voted","1. Joe Biden","4. Independent","5. $75,000 to $99,999","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","3. Independent-Democrat","4. $50,000 to $74,999","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","3. Independent-Democrat","2. $20,000 to $34,999","9. NA","1. 0 through 24"
"1. Voted","3. Jo Jorgensen","4. Independent","1. Less than $20,000","3. Some post-high school","1. 0 through 24"
"1. Voted","2. Donald Trump","9. NA","1. Less than $20,000","1. Less than high school","1. 0 through 24"
"1. Voted","9. NA","9. NA","7. $125,000 or more","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","9. NA","7. $125,000 or more","3. Some post-high school","4. 51 through 75"
"1. Voted","1. Joe Biden","7. Strong Republican","1. Less than $20,000","2. High school graduate","2. 25 through 49"
"1. Voted","1. Joe Biden","7. Strong Republican","7. $125,000 or more","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","7. $125,000 or more","3. Some post-high school","4. 51 through 75"
"1. Voted","3. Jo Jorgensen","3. Independent-Democrat","6. $100,000 to $124,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","4. Independent","6. $100,000 to $124,999","4. Bachelor's degree","2. 25 through 49"
"0. Did not vote","2. Donald Trump","3. Independent-Democrat","2. $20,000 to $34,999","1. Less than high school","1. 0 through 24"
"0. Did not vote","1. Joe Biden","4. Independent","6. $100,000 to $124,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","2. Donald Trump","7. Strong Republican","3. $35,000 to $49,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","3. Independent-Democrat","7. $125,000 or more","3. Some post-high school","1. 0 through 24"
"1. Voted","2. Donald Trump","6. Not very strong Republican","6. $100,000 to $124,999","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","5. $75,000 to $99,999","2. High school graduate","1. 0 through 24"
"1. Voted","1. Joe Biden","6. Not very strong Republican","3. $35,000 to $49,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","7. Strong Republican","7. $125,000 or more","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","9. NA","7. $125,000 or more","2. High school graduate","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","7. $125,000 or more","3. Some post-high school","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","3. $35,000 to $49,999","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","1. Less than $20,000","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","6. Not very strong Republican","1. Less than $20,000","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","6. Not very strong Republican","2. $20,000 to $34,999","3. Some post-high school","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","1. Less than $20,000","1. Less than high school","3. 50"
"1. Voted","1. Joe Biden","7. Strong Republican","2. $20,000 to $34,999","9. NA","2. 25 through 49"
"1. Voted","3. Jo Jorgensen","4. Independent","3. $35,000 to $49,999","1. Less than high school","2. 25 through 49"
"1. Voted","1. Joe Biden","6. Not very strong Republican","1. Less than $20,000","2. High school graduate","3. 50"
"0. Did not vote","2. Donald Trump","7. Strong Republican","5. $75,000 to $99,999","1. Less than high school","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","3. $35,000 to $49,999","2. High school graduate","2. 25 through 49"
"1. Voted","2. Donald Trump","7. Strong Republican","7. $125,000 or more","3. Some post-high school","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","1. Less than $20,000","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","1. Less than $20,000","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","6. Not very strong Republican","6. $100,000 to $124,999","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","9. NA","6. $100,000 to $124,999","1. Less than high school","4. 51 through 75"
"0. Did not vote","9. NA","4. Independent","3. $35,000 to $49,999","3. Some post-high school","2. 25 through 49"
"1. Voted","1. Joe Biden","3. Independent-Democrat","6. $100,000 to $124,999","2. High school graduate","1. 0 through 24"
"1. Voted","1. Joe Biden","9. NA","4. $50,000 to $74,999","3. Some post-high school","1. 0 through 24"
"1. Voted","2. Donald Trump","3. Independent-Democrat","3. $35,000 to $49,999","4. Bachelor's degree","4. 51 through 75"
"0. Did not vote","1. Joe Biden","4. Independent","3. $35,000 to $49,999","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","7. $125,000 or more","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","5. $75,000 to $99,999","1. Less than high school","2. 25 through 49"
"1. Voted","1. Joe Biden","4. Independent","1. Less than $20,000","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","4. $50,000 to $74,999","3. Some post-high school","1. 0 through 24"
"1. Voted","1. Joe Biden","7. Strong Republican","2. $20,000 to $34,999","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","9. NA","1. Less than $20,000","2. High school graduate","3. 50"
"0. Did not vote","1. Joe Biden","6. Not very strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","1. Joe Biden","7. Strong Republican","7. $125,000 or more","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","6. Not very strong Republican","7. $125,000 or more","4. Bachelor's degree","3. 50"
"1. Voted","9. NA","6. Not very strong Republican","1. Less than $20,000","1. Less than high school","4. 51 through 75"
"0. Did not vote","1. Joe Biden","9. NA","1. Less than $20,000","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","3. Some post-high school","2. 25 through 49"
"1. Voted","2. Donald Trump","6. Not very strong Republican","2. $20,000 to $34,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","1. Joe Biden","3. Independent-Democrat","5. $75,000 to $99,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","6. Not very strong Republican","3. $35,000 to $49,999","3. Some post-high school","3. 50"
"1. Voted","1. Joe Biden","9. NA","4. $50,000 to $74,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","4. Independent","5. $75,000 to $99,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","6. Not very strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","3. Independent-Democrat","4. $50,000 to $74,999","1. Less than high school","3. 50"
"1. Voted","2. Donald Trump","6. Not very strong Republican","5. $75,000 to $99,999","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","9. NA","1. Less than $20,000","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","5. $75,000 to $99,999","9. NA","1. 0 through 24"
"0. Did not vote","1. Joe Biden","7. Strong Republican","3. $35,000 to $49,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","7. Strong Republican","2. $20,000 to $34,999","4. Bachelor's degree","3. 50"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","3. Some post-high school","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","1. Less than $20,000","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","3. Independent-Democrat","5. $75,000 to $99,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","1. Joe Biden","7. Strong Republican","5. $75,000 to $99,999","2. High school graduate","1. 0 through 24"
"1. Voted","1. Joe Biden","7. Strong Republican","4. $50,000 to $74,999","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","6. Not very strong Republican","3. $35,000 to $49,999","1. Less than high school","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","6. $100,000 to $124,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","6. $100,000 to $124,999","1. Less than high school","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","3. $35,000 to $49,999","1. Less than high school","1. 0 through 24"
"1. Voted","2. Donald Trump","9. NA","3. $35,000 to $49,999","2. High school graduate","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","3. Some post-high school","2. 25 through 49"
"1. Voted","1. Joe Biden","9. NA","6. $100,000 to $124,999","2. High school graduate","1. 0 through 24"
"1. Voted","1. Joe Biden","7. Strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","3. Independent-Democrat","2. $20,000 to $34,999","1. Less than high school","3. 50"
"1. Voted","1. Joe Biden","3. Independent-Democrat","3. $35,000 to $49,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","6. Not very strong Republican","2. $20,000 to $34,999","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","7. $125,000 or more","1. Less than high school","2. 25 through 49"
"0. Did not vote","1. Joe Biden","4. Independent","5. $75,000 to $99,999","3. Some post-high school","2. 25 through 49"
"1. Voted","1. Joe Biden","7. Strong Republican","7. $125,000 or more","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","9. NA","7. $125,000 or more","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","3. Independent-Democrat","1. Less than $20,000","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","6. $100,000 to $124,999","3. Some post-high school","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","6. $100,000 to $124,999","2. High school graduate","3. 50"
"1. Voted","1. Joe Biden","6. Not very strong Republican","5. $75,000 to $99,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","1. Joe Biden","4. Independent","1. Less than $20,000","9. NA","3. 50"
"1. Voted","1. Joe Biden","9. NA","5. $75,000 to $99,999","3. Some post-high school","4. 51 through 75"
"1. Voted","1. Joe Biden","4. Independent","1. Less than $20,000","1. Less than high school","4. 51 through 75"
"1. Voted","1. Joe Biden","7. Strong Republican","5. $75,000 to $99,999","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","3. $35,000 to $49,999","3. Some post-high school","4. 51 through 75"
"1. Voted","1. Joe Biden","3. Independent-Democrat","6. $100,000 to $124,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","3. Independent-Democrat","3. $35,000 to $49,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","3. Jo Jorgensen","3. Independent-Democrat","2. $20,000 to $34,999","3. Some post-high school","3. 50"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","9. NA","2. 25 through 49"
"1. Voted","1. Joe Biden","3. Independent-Democrat","6. $100,000 to $124,999","1. Less than high school","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","6. $100,000 to $124,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","5. $75,000 to $99,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","7. $125,000 or more","2. High school graduate","4. 51 through 75"
"0. Did not vote","1. Joe Biden","9. NA","7. $125,000 or more","3. Some post-high school","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","3. $35,000 to $49,999","3. Some post-high school","4. 51 through 75"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","2. High school graduate","4. 51 through 75"
"1. Voted","1. Joe Biden","9. NA","4. $50,000 to $74,999","4. Bachelor's degree","1. 0 through 24"
"0. Did not vote","1. Joe Biden","3. Independent-Democrat","3. $35,000 to $49,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","6. Not very strong Republican","3. $35,000 to $49,999","9. NA","4. 51 through 75"
"1. Voted","2. Donald Trump","9. NA","4. $50,000 to $74,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","3. Independent-Democrat","7. $125,000 or more","4. Bachelor's degree","3. 50"
"1. Voted","1. Joe Biden","7. Strong Republican","1. Less than $20,000","1. Less than high school","4. 51 through 75"
"1. Voted","1. Joe Biden","9. NA","2. $20,000 to $34,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","9. NA","4. $50,000 to $74,999","3. Some post-high school","3. 50"
"1. Voted","1. Joe Biden","7. Strong Republican","7. $125,000 or more","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","4. Independent","1. Less than $20,000","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","4. Independent","3. $35,000 to $49,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","2. Donald Trump","4. Independent","5. $75,000 to $99,999","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","7. $125,000 or more","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","3. Independent-Democrat","7. $125,000 or more","4. Bachelor's degree","2. 25 through 49"
"1. Voted","2. Donald Trump","4. Independent","7. $125,000 or more","3. Some post-high school","2. 25 through 49"
"1. Voted","1. Joe Biden","7. Strong Republican","6. $100,000 to $124,999","1. Less than high school","3. 50"
"1. Voted","2. Donald Trump","6. Not very strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","6. Not very strong Republican","3. $35,000 to $49,999","2. High school graduate","4. 51 through 75"
"1. Voted","1. Joe Biden","4. Independent","3. $35,000 to $49,999","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","5. $75,000 to $99,999","1. Less than high school","4. 51 through 75"
"1. Voted","2. Donald Trump","4. Independent","7. $125,000 or more","1. Less than high school","1. 0 through 24"
"1. Voted","1. Joe Biden","3. Independent-Democrat","6. $100,000 to $124,999","3. Some post-high school","3. 50"
"0. Did not vote","1. Joe Biden","3. Independent-Democrat","6. $100,000 to $124,999","2. High school graduate","3. 50"
"1. Voted","1. Joe Biden","4. Independent","3. $35,000 to $49,999","2. High school graduate","3. 50"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","4. Independent","3. $35,000 to $49,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","2. Donald Trump","4. Independent","1. Less than $20,000","3. Some post-high school","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","5. $75,000 to $99,999","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","4. Independent","2. $20,000 to $34,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","9. NA","5. $75,000 to $99,999","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","3. $35,000 to $49,999","3. Some post-high school","2. 25 through 49"
"1. Voted","2. Donald Trump","3. Independent-Democrat","6. $100,000 to $124,999","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","1. Less than $20,000","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","2. $20,000 to $34,999","2. High school graduate","4. 51 through 75"
"1. Voted","1. Joe Biden","7. Strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","3. Independent-Democrat","6. $100,000 to $124,999","3. Some post-high school","2. 25 through 49"
"1. Voted","2. Donald Trump","4. Independent","7. $125,000 or more","1. Less than high school","4. 51 through 75"
"0. Did not vote","2. Donald Trump","7. Strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","4. Independent","5. $75,000 to $99,999","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","1. Less than $20,000","2. High school graduate","2. 25 through 49"
"1. Voted","1. Joe Biden","6. Not very strong Republican","4. $50,000 to $74,999","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","3. Independent-Democrat","2. $20,000 to $34,999","4. Bachelor's degree","4. 51 through 75"
"0. Did not vote","1. Joe Biden","6. Not very strong Republican","5. $75,000 to $99,999","3. Some post-high school","2. 25 through 49"
"1. Voted","1. Joe Biden","4. Independent","2. $20,000 to $34,999","3. Some post-high school","1. 0 through 24"
"1. Voted","1. Joe Biden","6. Not very strong Republican","3. $35,000 to $49,999","1. Less than high school","2. 25 through 49"
"1. Voted","1. Joe Biden","7. Strong Republican","5. $75,000 to $99,999","3. Some post-high school","2. 25 through 49"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","3. $35,000 to $49,999","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","9. NA","1. Less than $20,000","3. Some post-high school","2. 25 through 49"
"1. Voted","1. Joe Biden","3. Independent-Democrat","1. Less than $20,000","3. Some post-high school","3. 50"
"0. Did not vote","1. Joe Biden","3. Independent-Democrat","3. $35,000 to $49,999","2. High school graduate","3. 50"
"1. Voted","1. Joe Biden","9. NA","4. $50,000 to $74,999","1. Less than high school","2. 25 through 49"
"1. Voted","1. Joe Biden","4. Independent","3. $35,000 to $49,999","1. Less than high school","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","6. $100,000 to $124,999","2. High school graduate","2. 25 through 49"
"0. Did not vote","1. Joe Biden","9. NA","6. $100,000 to $124,999","3. Some post-high school","4. 51 through 75"
"1. Voted","1. Joe Biden","3. Independent-Democrat","5. $75,000 to $99,999","1. Less than high school","1. 0 through 24"
"1. Voted","2. Donald Trump","9. NA","3. $35,000 to $49,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","2. $20,000 to $34,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","4. Independent","6. $100,000 to $124,999","3. Some post-high school","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","7. $125,000 or more","1. Less than high school","4. 51 through 75"
"1. Voted","1. Joe Biden","7. Strong Republican","7. $125,000 or more","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","2. $20,000 to $34,999","3. Some post-high school","1. 0 through 24"
"0. Did not vote","2. Donald Trump","7. Strong Republican","2. $20,000 to $34,999","3. Some post-high school","1. 0 through 24"
"1. Voted","2. Donald Trump","4. Independent","6. $100,000 to $124,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","5. $75,000 to $99,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","7. Strong Republican","3. $35,000 to $49,999","3. Some post-high school","3. 50"
"1. Voted","1. Joe Biden","6. Not very strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","1. Joe Biden","9. NA","5. $75,000 to $99,999","2. High school graduate","4. 51 through 75"
"1. Voted","1. Joe Biden","6. Not very strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","3. 50"
"1. Voted","1. Joe Biden","4. Independent","3. $35,000 to $49,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","1. Joe Biden","4. Independent","7. $125,000 or more","1. Less than high school","1. 0 through 24"
"1. Voted","2. Donald Trump","7. Strong Republican","2. $20,000 to $34,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","3. Independent-Democrat","4. $50,000 to $74,999","1. Less than high school","3. 50"
"1. Voted","2. Donald Trump","4. Independent","1. Less than $20,000","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","3. $35,000 to $49,999","4. Bachelor's degree","2. 25 through 49"
"0. Did not vote","2. Donald Trump","3. Independent-Democrat","5. $75,000 to $99,999","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","3. Independent-Democrat","1. Less than $20,000","3. Some post-high school","1. 0 through 24"
"1. Voted","1. Joe Biden","7. Strong Republican","7. $125,000 or more","2. High school graduate","1. 0 through 24"
"0. Did not vote","2. Donald Trump","4. Independent","6. $100,000 to $124,999","3. Some post-high school","4. 51 through 75"
"0. Did not vote","2. Donald Trump","6. Not very strong Republican","4. $50,000 to $74,999","4. Bachelor's degree","3. 50"
"1. Voted","1. Joe Biden","6. Not very strong Republican","7. $125,000 or more","3. Some post-high school","3. 50"
"1. Voted","1. Joe Biden","9. NA","4. $50,000 to $74,999","2. High school graduate","4. 51 through 75"
"1. Voted","1. Joe Biden","3. Independent-Democrat","2. $20,000 to $34,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","9. NA","3. $35,000 to $49,999","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","4. Independent","7. $125,000 or more","3. Some post-high school","1. 0 through 24"
"0. Did not vote","2. Donald Trump","3. Independent-Democrat","2. $20,000 to $34,999","3. Some post-high school","2. 25 through 49"
"1. Voted","2. Donald Trump","4. Independent","6. $100,000 to $124,999","1. Less than high school","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","4. Independent","3. $35,000 to $49,999","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","3. $35,000 to $49,999","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","9. NA","2. $20,000 to $34,999","9. NA","3. 50"
"1. Voted","1. Joe Biden","6. Not very strong Republican","4. $50,000 to $74,999","1. Less than high school","2. 25 through 49"
"1. Voted","2. Donald Trump","3. Independent-Democrat","6. $100,000 to $124,999","4. Bachelor's degree","4. 51 through 75"
"1. Voted","2. Donald Trump","7. Strong Republican","4. $50,000 to $74,999","1. Less than high school","1. 0 through 24"
"1. Voted","1. Joe Biden","6. Not very strong Republican","2. $20,000 to $34,999","4. Bachelor's degree","3. 50"
"1. Voted","1. Joe Biden","7. Strong Republican","3. $35,000 to $49,999","3. Some post-high school","3. 50"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","4. Bachelor's degree","3. 50"
"1. Voted","1. Joe Biden","6. Not very strong Republican","2. $20,000 to $34,999","1. Less than high school","3. 50"
"0. Did not vote","1. Joe Biden","4. Independent","5. $75,000 to $99,999","9. NA","4. 51 through 75"
"1. Voted","1. Joe Biden","6. Not very strong Republican","5. $75,000 to $99,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","3. Independent-Democrat","6. $100,000 to $124,999","1. Less than high school","2. 25 through 49"
"1. Voted","2. Donald Trump","4. Independent","3. $35,000 to $49,999","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","4. Independent","7. $125,000 or more","2. High school graduate","3. 50"
"1. Voted","1. Joe Biden","3. Independent-Democrat","4. $50,000 to $74,999","2. High school graduate","3. 50"
"1. Voted","3. Jo Jorgensen","4. Independent","4. $50,000 to $74,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","1. Joe Biden","7. Strong Republican","2. $20,000 to $34,999","3. Some post-high school","1. 0 through 24"
"1. Voted","2. Donald Trump","9. NA","3. $35,000 to $49,999","2. High school graduate","2. 25 through 49"
"1. Voted","1. Joe Biden","3. Independent-Democrat","1. Less than $20,000","9. NA","4. 51 through 75"
"1. Voted","2. Donald Trump","7. Strong Republican","6. $100,000 to $124,999","2. High school graduate","2. 25 through 49"
"1. Voted","2. Donald Trump","4. Independent","5. $75,000 to $99,999","1. Less than high school","4. 51 through 75"
"1. Voted","1. Joe Biden","4. Independent","2. $20,000 to $34,999","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","3. Independent-Democrat","5. $75,000 to $99,999","3. Some post-high school","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","1. Less than $20,000","1. Less than high school","3. 50"
"1. Voted","3. Jo Jorgensen","4. Independent","4. $50,000 to $74,999","2. High school graduate","3. 50"
"1. Voted","3. Jo Jorgensen","6. Not very strong Republican","3. $35,000 to $49,999","4. Bachelor's degree","2. 25 through 49"
"1. Voted","1. Joe Biden","3. Independent-Democrat","3. $35,000 to $49,999","2. High school graduate","4. 51 through 75"
"1. Voted","1. Joe Biden","6. Not very strong Republican","6. $100,000 to $124,999","2. High school graduate","2. 25 through 49"
"1. Voted","2. Donald Trump","7. Strong Republican","1. Less than $20,000","4. Bachelor's degree","2. 25 through 49"
"1. Voted","2. Donald Trump","4. Independent","1. Less than $20,000","3. Some post-high school","4. 51 through 75"
"1. Voted","1. Joe Biden","4. Independent","1. Less than $20,000","3. Some post-high school","3. 50"
"0. Did not vote","1. Joe Biden","3. Independent-Democrat","3. $35,000 to $49,999","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","6. Not very strong Republican","2. $20,000 to $34,999","1. Less than high school","4. 51 through 75"
"1. Voted","1. Joe Biden","6. Not very strong Republican","6. $100,000 to $124,999","1. Less than high school","3. 50"
"0. Did not vote","1. Joe Biden","4. Independent","2. $20,000 to $34,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","9. NA","4. $50,000 to $74,999","1. Less than high school","3. 50"
"1. Voted","1. Joe Biden","4. Independent","2. $20,000 to $34,999","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","4. Independent","3. $35,000 to $49,999","3. Some post-high school","4. 51 through 75"
"1. Voted","1. Joe Biden","3. Independent-Democrat","6. $100,000 to $124,999","2. High school graduate","2. 25 through 49"
"1. Voted","1. Joe Biden","4. Independent","5. $75,000 to $99,999","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","3. Independent-Democrat","5. $75,000 to $99,999","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","4. Independent","6. $100,000 to $124,999","1. Less than high school","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","7. $125,000 or more","2. High school graduate","1. 0 through 24"
"1. Voted","2. Donald Trump","4. Independent","1. Less than $20,000","3. Some post-high school","2. 25 through 49"
"1. Voted","2. Donald Trump","3. Independent-Democrat","5. $75,000 to $99,999","3. Some post-high school","3. 50"
"1. Voted","2. Donald Trump","4. Independent","3. $35,000 to $49,999","2. High school graduate","3. 50"
"1. Voted","1. Joe Biden","4. Independent","2. $20,000 to $34,999","4. Bachelor's degree","3. 50"
"1. Voted","3. Jo Jorgensen","6. Not very strong Republican","7. $125,000 or more","2. High school graduate","4. 51 through 75"
"1. Voted","2. Donald Trump","6. Not very strong Republican","7. $125,000 or more","2. High school graduate","1. 0 through 24"
"0. Did not vote","2. Donald Trump","3. Independent-Democrat","5. $75,000 to $99,999","3. Some post-high school","1. 0 through 24"
"1. Voted","1. Joe Biden","4. Independent","4. $50,000 to $74,999","1. Less than high school","2. 25 through 49"
"0. Did not vote","1. Joe Biden","4. Independent","2. $20,000 to $34,999","1. Less than high school","4. 51 through 75"
"1. Voted","1. Joe Biden","6. Not very strong Republican","2. $20,000 to $34,999","1. Less than high school","4. 51 through 75"
"1. Voted","1. Joe Biden","7. Strong Republican","6. $100,000 to $124,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","2. Donald Trump","9. NA","1. Less than $20,000","4. Bachelor's degree","3. 50"
"1. Voted","2. Donald Trump","7. Strong Republican","6. $100,000 to $124,999","4. Bachelor's degree","1. 0 through 24"
"1. Voted","1. Joe Biden","3. Independent-Democrat","4. $50,000 to $74,999","2. High school graduate","3. 50"
"1. Voted","2. Donald Trump","6. Not very strong Republican","1. Less than $20,000","3. Some post-high school","1. 0 through 24"
